4.0 deg N, 79.2 deg W October Temperature Anomalies
Units: Degrees Celsius
Base Period: 1901-2000
Year,Value
1904,-0.99
1905,-1.21
1906,-1.18
1907,-0.97
1908,-1.12
1909,-0.86
1910,-0.66
1911,-0.53
1912,-1.03
1913,-0.82
1914,-1.00
1915,-0.72
1916,-1.08
1917,-0.89
1918,-0.88
1919,-1.25
1920,-0.92
1921,-0.74
1922,-0.93
1923,-0.69
1924,-0.70
1925,-0.72
1926,-0.89
1927,-0.73
1928,-0.66
1929,-0.57
1930,-0.45
1931,-0.59
1932,-0.79
1933,-1.05
1934,-0.82
1935,-0.77
1936,-0.73
1937,-0.62
1938,-0.57
1939,-0.71
1940,-0.45
1941,-0.15
1942,-0.53
1943,-0.23
1944,-0.62
1945,-0.12
1946,-0.64
1947,-0.55
1948,-0.50
1949,-1.46
1950,-1.17
1951,0.03
1952,-0.33
1953,-0.55
1954,-1.26
1955,-1.23
1956,-1.07
1957,-0.01
1958,0.12
1959,-0.49
1960,-0.51
1961,-0.33
1962,-0.40
1963,0.02
1964,-0.87
1965,-0.16
1966,-0.35
1967,-0.62
1968,-0.47
1969,-0.45
1970,-0.52
1971,-0.97
1972,0.26
1973,-0.84
1974,-0.99
1975,-0.96
1976,-0.19
1977,-0.38
1978,-0.35
1979,-0.17
1980,-0.25
1981,-0.59
1982,0.05
1983,-0.04
1984,-0.35
1985,-0.52
1986,-0.18
1987,0.62
1988,-0.45
1989,-0.32
1990,-0.46
1991,-0.15
1992,-0.21
1993,0.02
1994,0.13
1995,-0.09
1996,-0.47
1997,1.16
1998,0.15
1999,-0.51
2000,0.11
2001,0.19
2002,0.34
2003,0.52
2004,0.49
2005,-0.30
2006,0.75
2007,-0.50
2008,0.10
2009,0.69
2010,-0.18
2011,-0.44
2012,0.14
2013,0.18
2014,0.44
2015,1.26
2016,0.50
2017,0.26
